model_name,model_type,in_tokens,out_tokens,in_tks_price,out_tks_price,price,epoch,source,qtype,qid,score,error
zai-org/GLM-5.1,LM,1606,1588,0.77164284,2.31492852,0.0049153648908,1,../outputs/tools/text,text,10,1,False
zai-org/GLM-5.1,LM,390,1613,0.77164284,2.31492852,0.00403492041036,1,../outputs/tools/text,text,11,1,False
zai-org/GLM-5.1,LM,383,4674,0.77164284,2.31492852,0.0111155151102,1,../outputs/tools/text,text,19,0,False
zai-org/GLM-5.1,LM,4203,4289,0.77164284,2.31492852,0.0131719432788,1,../outputs/tools/text,text,21,0,False
zai-org/GLM-5.1,LM,344,116,0.77164284,2.31492852,0.00053397684528,1,../outputs/tools/text,text,23,1,False
zai-org/GLM-5.1,LM,403,622,0.77164284,2.31492852,0.00175085760396,1,../outputs/tools/text,text,25,1,False
zai-org/GLM-5.1,LM,368,1905,0.77164284,2.31492852,0.00469390339572,1,../outputs/tools/text,text,32,1,False
zai-org/GLM-5.1,LM,375,792,0.77164284,2.31492852,0.0021227894528400002,1,../outputs/tools/text,text,33,1,False
zai-org/GLM-5.1,LM,370,476,0.77164284,2.31492852,0.0013874138263200002,1,../outputs/tools/text,text,34,1,False
zai-org/GLM-5.1,LM,319,141,0.77164284,2.31492852,0.0005725589872800001,1,../outputs/tools/text,text,35,1,False
zai-org/GLM-5.1,LM,1147,3937,0.77164284,2.31492852,0.00999894792072,1,../outputs/tools/text,text,39,1,False
zai-org/GLM-5.1,LM,12752,4768,0.77164284,2.31492852,0.02087756867904,1,../outputs/tools/text,text,41,0,False
zai-org/GLM-5.1,LM,3732,2222,0.77164284,2.31492852,0.00802354225032,1,../outputs/tools/text,text,42,1,False
zai-org/GLM-5.1,LM,7027,4035,0.77164284,2.31492852,0.01476307081488,1,../outputs/tools/text,text,43,0,False
zai-org/GLM-5.1,LM,446,2537,0.77164284,2.31492852,0.006217126361880001,1,../outputs/tools/text,text,44,0,False
zai-org/GLM-5.1,LM,381,486,0.77164284,2.31492852,0.00141905118276,1,../outputs/tools/text,text,46,1,False
zai-org/GLM-5.1,LM,3428,5142,0.77164284,2.31492852,0.01454855410536,1,../outputs/tools/text,text,50,1,False
zai-org/GLM-5.1,LM,2262,2556,0.77164284,2.31492852,0.0076624134012,1,../outputs/tools/text,text,51,1,False
zai-org/GLM-5.1,LM,2139,1752,0.77164284,2.31492852,0.0057062988018,1,../outputs/tools/text,text,52,1,False
zai-org/GLM-5.1,LM,337,638,0.77164284,2.31492852,0.00173696803284,1,../outputs/tools/text,text,55,0,False
zai-org/GLM-5.1,LM,1121,316,0.77164284,2.31492852,0.0015965290359600001,1,../outputs/tools/text,text,70,1,False
zai-org/GLM-5.1,LM,334,864,0.77164284,2.31492852,0.00225782694984,1,../outputs/tools/text,text,74,0,False
zai-org/GLM-5.1,LM,418,408,0.77164284,2.31492852,0.0012670375432800001,1,../outputs/tools/text,text,78,1,False
zai-org/GLM-5.1,LM,325,1469,0.77164284,2.31492852,0.00365141391888,1,../outputs/tools/text,text,81,0,False
zai-org/GLM-5.1,LM,687,255,0.77164284,2.31492852,0.00112042540368,1,../outputs/tools/text,text,82,1,False
zai-org/GLM-5.1,LM,4772,9048,0.77164284,2.31492852,0.02462775288144,1,../outputs/tools/text,text,83,0,False
zai-org/GLM-5.1,LM,443,298,0.77164284,2.31492852,0.00103168647708,1,../outputs/tools/text,text,85,1,False
zai-org/GLM-5.1,LM,777,993,0.77164284,2.31492852,0.0028982905070400002,1,../outputs/tools/text,text,86,0,False
zai-org/GLM-5.1,LM,358,224,0.77164284,2.31492852,0.0007947921252000001,1,../outputs/tools/text,text,87,1,False
zai-org/GLM-5.1,LM,31337,14137,0.77164284,2.31492852,0.05690711616432,1,../outputs/tools/text,text,88,0,False
zai-org/GLM-5.1,LM,807,649,0.77164284,2.31492852,0.00212510438136,1,../outputs/tools/text,text,94,1,False
zai-org/GLM-5.1,LM,1837,2127,0.77164284,2.31492852,0.006341360859120001,1,../outputs/tools/text,text,95,1,False
zai-org/GLM-5.1,LM,329,701,0.77164284,2.31492852,0.0018766353868800002,1,../outputs/tools/text,text,99,1,False
zai-org/GLM-5.1,LM,10638,11522,0.77164284,2.31492852,0.03488134293936,1,../outputs/tools/text,text,101,0,False
zai-org/GLM-5.1,LM,397,841,0.77164284,2.31492852,0.0022531970928,1,../outputs/tools/text,text,102,0,False
zai-org/GLM-5.1,LM,351,648,0.77164284,2.31492852,0.0017709203178000001,1,../outputs/tools/text,text,103,1,False
