model_name,model_type,input_price,output_price,release_date,size,reasoning,tool_calling
zai-org/GLM-4.7,LM,0.56056908,1.6817072399999997,12-2025,358,True,True
zai-org/GLM-5,LM,1.0757624,3.2274146599999995,02-2026,754,True,True
zai-org/GLM-5.1,LM,0.77164284,2.31492852,04-2026,754,True,True
deepseek-ai/DeepSeek-V4-Flash,LM,0.26664632,0.7998114999999999,04-2026,158,True,True
deepseek-ai/DeepSeek-V4-Pro,LM,0.9323699,2.7971097,04-2026,862,True,True
moonshotai/Kimi-K2.5,VLM,0.68560734,2.05669456,02-2026,1000,True,True
moonshotai/Kimi-K2.6,VLM,0.61206292,1.83618876,04-2026,1000,True,True
google/gemma-4-E2B-it,VLM,0.01644234,0.04932702,04-2026,5,True,False
google/gemma-4-E4B-it,VLM,0.0248547,0.07456410000000001,04-2026,8,True,False
google/gemma-4-26B-A4B-it,VLM,0.04218925999999999,0.12656778,04-2026,26,True,False
openai/gpt-oss-20b,LM,0.0203936,0.06105334,08-2025,21,True,True
openai/gpt-oss-120b,LM,0.04856226,0.14568678,08-2025,117,True,True
Qwen/Qwen3-VL-30B-A3B-Thinking,VLM,0.06334762,0.19017032,09-2025,30,True,True
Qwen/Qwen3-VL-235B-A22B-Thinking,VLM,0.30947287999999995,0.9285461,09-2025,235,True,True
Qwen/Qwen3-Next-80B-A3B-Thinking,LM,0.13650966,0.40965644,09-2025,80,True,True
Qwen/Qwen3.5-35B-A3B,VLM,0.048307340000000004,0.14479456000000002,03-2026,35,True,True
Qwen/Qwen3.5-122B-A10B,VLM,0.14912820000000002,0.44738459999999997,03-2026,122,True,True
Qwen/Qwen3.5-397B-A17B,VLM,0.5047416,1.5142247999999998,03-2026,397,True,True
gemini-2.5-flash,VLM,0.3,2.5,06-2025,,True,True
gemini-2.5-pro,VLM,1.25,10,06-2025,,True,True
gemini-3-flash-preview,VLM,0.5,3,12-2025,,True,True
gemini-3.1-flash-lite-preview,VLM,0.25,1.5,03-2026,,True,True
gemini-3.1-pro-preview,VLM,1,6,02-2026,,True,True
gpt-5-mini,VLM,0.25,2,08-2025,,True,True
gpt-5,VLM,1.25,10,08-2025,,True,True
gpt-5.2,VLM,1.75,14,12-2025,,True,True
gpt-5.4-nano,VLM,0.2,1.25,03-2026,,True,True
gpt-5.4-mini,VLM,0.75,4.5,03-2026,,True,True
gpt-5.4,VLM,2.5,15,03-2026,,True,True
gpt-5.5,VLM,5,30,04-2026,,True,True
gemini-2.5-flash-image,GEN,0.3,30,08-2025,,,
gemini-3-pro-image-preview,GEN,2,120,11-2025,,,
gemini-3.1-flash-image-preview,GEN,0.5,60,03-2026,,,
gpt-image-1-mini,GEN,2.5,8,10-2025,,,
gpt-image-1.5,GEN,8,32,12-2025,,,
gpt-image-2,GEN,8,30,04-2026,,,
