model_name,model_type,input_price,output_price,release_date,size,reasoning,tool_calling
zai-org/GLM-4.7,LM,0.4398,1.3194,12-2025,358,True,True
zai-org/GLM-5,LM,0.844,2.5321,02-2026,754,True,True
zai-org/GLM-5.1,LM,0.6054,1.8162,04-2026,754,True,True
deepseek-ai/DeepSeek-V3.2-Speciale,LM,0.6147,1.844,12-2025,685,True,False
moonshotai/Kimi-K2.5,VLM,0.5379,1.6136,02-2026,1000,True,True
moonshotai/Kimi-K2.6,VLM,0.4802,1.4406,04-2026,1000,True,True
google/gemma-4-E2B-it,VLM,0.0129,0.0387,04-2026,5,True,False
google/gemma-4-E4B-it,VLM,0.0195,0.0585,04-2026,8,True,False
google/gemma-4-26B-A4B-it,VLM,0.0331,0.0993,04-2026,26,True,False
gpt-oss-20b,LM,0.016,0.0479,08-2025,21,True,True
gpt-oss-120b,LM,0.0381,0.1143,08-2025,117,True,True
Qwen/Qwen3-VL-30B-A3B-Thinking,VLM,0.0497,0.1492,09-2025,30,True,True
Qwen/Qwen3-VL-235B-A22B-Thinking,VLM,0.2428,0.7285,09-2025,235,True,True
Qwen/Qwen3.5-35B-A3B,VLM,0.0379,0.1136,03-2026,35,True,True
Qwen/Qwen3.5-122B-A10B,VLM,0.117,0.351,03-2026,122,True,True
Qwen/Qwen3.5-397B-A17B,VLM,0.396,1.188,03-2026,397,True,True
gemini-2.5-flash,VLM,0.3,2.5,06-2025,,True,True
gemini-2.5-pro,VLM,1.25,10,06-2025,,True,True
gemini-3-flash-preview,VLM,0.5,3,12-2025,,True,True
gemini-3-pro-preview,VLM,2,12,11-2025,,True,True
gemini-3.1-flash-lite-preview,VLM,0.25,1.5,03-2026,,True,True
gemini-3.1-pro-preview,VLM,1,6,02-2026,,True,True
gpt-5-mini,VLM,0.25,2,08-2025,,True,True
gpt-5,VLM,1.25,10,08-2025,,True,True
gpt-5.2,VLM,1.75,14,12-2025,,True,True
gpt-5.4-mini,VLM,0.75,4.5,03-2026,,True,True
gpt-5.4,VLM,2.5,15,03-2026,,True,True
gemini-2.5-flash-image,GEN,0.3,30,08-2025,,,
gemini-3-pro-image-preview,GEN,2,120,11-2025,,,
gemini-3.1-flash-image-preview,GEN,0.5,60,03-2026,,,
gpt-image-1-mini,GEN,2.5,8,10-2025,,,
gpt-image-1.5,GEN,8,32,12-2025,,,
gpt-image-2,GEN,8,30,04-2026,,,
